"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"MANES_01G220400","OG0001972",1.4807,"Bundle sheath cell","reference","Bundle sheath cell",7,"manihot_esculenta","Leaf"
"MANES_18G034400","OG0001749",1.4483,"Bundle sheath cell","reference","Bundle sheath cell",7,"manihot_esculenta","Leaf"
"MANES_18G034400","OG0001749",1.4483,"Bundle sheath cell","reference","Bundle sheath cell",7,"manihot_esculenta","Leaf"
"MANES_08G032500","OG0000723",1.2959,"Bundle sheath cell","reference","Bundle sheath cell",7,"manihot_esculenta","Leaf"
"MANES_08G032500","OG0000723",1.2959,"Bundle sheath cell","reference","Bundle sheath cell",7,"manihot_esculenta","Leaf"
"MANES_11G162000","OG0001550",1.2055,"Bundle sheath cell","reference","Bundle sheath cell",7,"manihot_esculenta","Leaf"
"MANES_11G162000","OG0001550",1.2055,"Bundle sheath cell","reference","Bundle sheath cell",7,"manihot_esculenta","Leaf"
"MANES_06G069300","OG0002534",1.1829,"Bundle sheath cell","reference","Bundle sheath cell",7,"manihot_esculenta","Leaf"
"MANES_02G034500","OG0002005",1.1703,"Bundle sheath cell","reference","Bundle sheath cell",7,"manihot_esculenta","Leaf"
"MANES_02G011000","OG0012203",1.1339,"Bundle sheath cell","reference","Bundle sheath cell",7,"manihot_esculenta","Leaf"
"MANES_09G066300","OG0001343",1.1001,"Bundle sheath cell","reference","Bundle sheath cell",7,"manihot_esculenta","Leaf"
"MANES_12G127500","OG0002238",1.0781,"Bundle sheath cell","reference","Bundle sheath cell",7,"manihot_esculenta","Leaf"
"MANES_01G190000","OG0000507",0.9948,"Bundle sheath cell","reference","Bundle sheath cell",7,"manihot_esculenta","Leaf"
"MANES_01G190000","OG0000507",0.9948,"Bundle sheath cell","reference","Bundle sheath cell",7,"manihot_esculenta","Leaf"
"MANES_12G063000","OG0000297",0.9595,"Bundle sheath cell","reference","Bundle sheath cell",7,"manihot_esculenta","Leaf"
"MANES_12G063000","OG0000297",0.9595,"Bundle sheath cell","reference","Bundle sheath cell",7,"manihot_esculenta","Leaf"
"MANES_S092100","OG0000297",0.9178,"Bundle sheath cell","reference","Bundle sheath cell",7,"manihot_esculenta","Leaf"
"MANES_16G004100","OG0000385",0.9168,"Bundle sheath cell","reference","Bundle sheath cell",7,"manihot_esculenta","Leaf"
"MANES_16G004100","OG0000385",0.9168,"Bundle sheath cell","reference","Bundle sheath cell",7,"manihot_esculenta","Leaf"
"MANES_12G146000","OG0000467",0.9071,"Bundle sheath cell","reference","Bundle sheath cell",7,"manihot_esculenta","Leaf"
"MANES_12G146000","OG0000467",0.9071,"Bundle sheath cell","reference","Bundle sheath cell",7,"manihot_esculenta","Leaf"
"MANES_12G069300","OG0000893",0.9012,"Bundle sheath cell","reference","Bundle sheath cell",7,"manihot_esculenta","Leaf"
"MANES_14G070400","OG0004251",0.8857,"Bundle sheath cell","reference","Bundle sheath cell",7,"manihot_esculenta","Leaf"
