"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"AT3G15353","OG0011569",6.76,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT5G02380","OG0000950",5.1364,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT5G09220","OG0000245",4.1512,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT5G09220","OG0000245",4.1512,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT5G63850","OG0000245",4.0577,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT5G22090","OG0003137",3.8321,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT4G38740","OG0000387",3.7438,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT4G38740","OG0000387",3.7438,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT2G16740","OG0000104",3.4877,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT1G66200","OG0000410",3.4557,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT5G04080","OG0011418",3.2662,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT5G04080","OG0011418",3.2662,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT3G56240","OG0000252",2.9745,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT3G56240","OG0000252",2.9745,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT5G17650","OG0004333",2.7309,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT5G42980","OG0002445",2.4207,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT1G75390","OG0000342",2.4012,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT1G58360","OG0003663",2.1699,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT1G58360","OG0003663",2.1699,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT1G66240","OG0000252",1.9716,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT1G44100","OG0000245",1.8199,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT5G40370","OG0004384",1.8107,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT5G64260","OG0000303",1.66,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT3G02470","OG0001408",1.6168,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT1G77710","OG0008448",1.5683,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT4G34870","OG0000387",1.5552,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT2G27030","OG0000174",1.5035,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT1G73040","OG0009674",1.4729,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT2G38640","OG0003544",1.4696,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT2G38640","OG0003544",1.4696,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT2G15310","OG0000169",1.4621,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT4G25810","OG0000138",1.4391,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT4G34590","OG0000342",1.3026,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT5G10625","OG0001216",1.2528,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT4G33660","OG0006328",1.2352,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
"AT3G03341","OG0011383",1.228,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Flower"
