"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"AT2G21050","OG0000294",2.7336,"Columella","reference","Columella",11,"arabidopsis_thaliana","Root"
"AT3G47800","OG0000839",1.9327,"Columella","reference","Columella",11,"arabidopsis_thaliana","Root"
"AT3G20840","OG0000025",1.8245,"Columella","reference","Columella",11,"arabidopsis_thaliana","Root"
"AT2G25490","OG0001400",1.5901,"Columella","reference","Columella",11,"arabidopsis_thaliana","Root"
"AT1G63420","OG0000587",1.3469,"Columella","reference","Columella",11,"arabidopsis_thaliana","Root"
"AT3G54400","OG0002254",1.3447,"Columella","reference","Columella",11,"arabidopsis_thaliana","Root"
"AT5G66690","OG0002717",1.3077,"Columella","reference","Columella",11,"arabidopsis_thaliana","Root"
"AT5G10510","OG0000025",1.301,"Columella","reference","Columella",11,"arabidopsis_thaliana","Root"
"AT3G57550","OG0003610",1.2814,"Columella","reference","Columella",11,"arabidopsis_thaliana","Root"
"AT3G44220","OG0000723",1.0945,"Columella","reference","Columella",11,"arabidopsis_thaliana","Root"
"AT1G69530","OG0000128",1.0494,"Columella","reference","Columella",11,"arabidopsis_thaliana","Root"
"AT4G00110","OG0000781",0.8809,"Columella","reference","Columella",11,"arabidopsis_thaliana","Root"
"AT2G45830","OG0000587",0.8123,"Columella","reference","Columella",11,"arabidopsis_thaliana","Root"
"AT1G51190","OG0000025",0.705,"Columella","reference","Columella",11,"arabidopsis_thaliana","Root"
"Potri_001G001100","OG0000128",2.7809614377208,"11","query","Columella",11,"arabidopsis_thaliana","Root"
"Potri_003G195500","OG0002254",1.97546805603207,"11","query","Columella",11,"arabidopsis_thaliana","Root"
"Potri_004G129700","OG0000839",0.851579351642722,"11","query","Columella",11,"arabidopsis_thaliana","Root"
"Potri_006G053400","OG0003610",2.42288373045591,"11","query","Columella",11,"arabidopsis_thaliana","Root"
"Potri_006G254100","OG0001400",0.634097461338245,"11","query","Columella",11,"arabidopsis_thaliana","Root"
"Potri_007G030400","OG0002717",3.5015662187234,"11","query","Columella",11,"arabidopsis_thaliana","Root"
"Potri_014G081600","OG0000587",4.13054067449642,"11","query","Columella",11,"arabidopsis_thaliana","Root"
"Potri_015G144400","OG0000587",1.71870174948168,"11","query","Columella",11,"arabidopsis_thaliana","Root"
"Potri_016G071500","OG0000723",0.560050301512401,"11","query","Columella",11,"arabidopsis_thaliana","Root"
"Potri_016G113600","OG0000294",1.51528961995935,"11","query","Columella",11,"arabidopsis_thaliana","Root"
"Potri_017G080100","OG0000839",3.72891904037279,"11","query","Columella",11,"arabidopsis_thaliana","Root"
"Potri_018G091600","OG0000025",1.02675767367159,"11","query","Columella",11,"arabidopsis_thaliana","Root"
"Potri_018G100400","OG0000781",0.572074934455595,"11","query","Columella",11,"arabidopsis_thaliana","Root"
"AT2G36950","OG0001343",90.0826722451981,"Columella root cap","reference","Columella root cap",3,"arabidopsis_thaliana","Root"
"AT5G02020","OG0000472",42.7984486935178,"Columella root cap","reference","Columella root cap",3,"arabidopsis_thaliana","Root"
"AT1G14220","OG0002580",13.8282188747999,"Columella root cap","reference","Columella root cap",3,"arabidopsis_thaliana","Root"
"AT3G12120","OG0001346",13.16687466641,"Columella root cap","reference","Columella root cap",3,"arabidopsis_thaliana","Root"
"AT5G20250","OG0006355",8.25866789758826,"Columella root cap","reference","Columella root cap",3,"arabidopsis_thaliana","Root"
"AT3G48000","OG0001683",6.63639149370216,"Columella root cap","reference","Columella root cap",3,"arabidopsis_thaliana","Root"
"AT4G38470","OG0000678",5.22276976760824,"Columella root cap","reference","Columella root cap",3,"arabidopsis_thaliana","Root"
"AT4G36360","OG0000214",4.88513202078292,"Columella root cap","reference","Columella root cap",3,"arabidopsis_thaliana","Root"
"AT1G50060","OG0000111",4.77991010501467,"Columella root cap","reference","Columella root cap",3,"arabidopsis_thaliana","Root"
"AT2G25490","OG0001400",4.19287607720159,"Columella root cap","reference","Columella root cap",3,"arabidopsis_thaliana","Root"
"AT5G02380","OG0000950",3.48810751213895,"Columella root cap","reference","Columella root cap",3,"arabidopsis_thaliana","Root"
"AT5G02380","OG0000950",3.1214998150797,"Columella root cap","reference","Columella root cap",3,"arabidopsis_thaliana","Root"
"AT5G18170","OG0001015",3.09370111593562,"Columella root cap","reference","Columella root cap",3,"arabidopsis_thaliana","Root"
"Potri_001G288600","OG0000111",0.963318507358157,"3","query","Columella root cap",3,"arabidopsis_thaliana","Root"
"Potri_002G189900","OG0001683",0.754834975572855,"3","query","Columella root cap",3,"arabidopsis_thaliana","Root"
"Potri_006G065700","OG0006355",1.71130559450774,"3","query","Columella root cap",3,"arabidopsis_thaliana","Root"
"Potri_006G068500","OG0001400",0.529865415092471,"3","query","Columella root cap",3,"arabidopsis_thaliana","Root"
"Potri_006G085200","OG0000950",0.796856379737001,"3","query","Columella root cap",3,"arabidopsis_thaliana","Root"
"Potri_006G124800","OG0001343",0.711356529636379,"3","query","Columella root cap",3,"arabidopsis_thaliana","Root"
"Potri_006G144500","OG0000214",2.99793749896806,"3","query","Columella root cap",3,"arabidopsis_thaliana","Root"
"Potri_006G192000","OG0001346",0.544941915960986,"3","query","Columella root cap",3,"arabidopsis_thaliana","Root"
"Potri_008G086800","OG0002580",2.49995127515964,"3","query","Columella root cap",3,"arabidopsis_thaliana","Root"
"Potri_009G038300","OG0000472",2.95574498904223,"3","query","Columella root cap",3,"arabidopsis_thaliana","Root"
"Potri_009G139400","OG0000678",2.24594048686777,"3","query","Columella root cap",3,"arabidopsis_thaliana","Root"
"Potri_013G058300","OG0001015",1.53321570683715,"3","query","Columella root cap",3,"arabidopsis_thaliana","Root"
"Potri_015G111000","OG0001015",2.76813792865416,"3","query","Columella root cap",3,"arabidopsis_thaliana","Root"
"AT1G28290","OG0002079",56.9020025174725,"Columella root cap","reference","Columella root cap",11,"arabidopsis_thaliana","Root"
