"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"AT4G33260","OG0001623",3.49352636501605,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT4G33270","OG0001623",3.48202405765743,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT3G51740","OG0002561",3.26557231583398,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT1G63100","OG0008276",3.09214637927208,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT4G23800","OG0008585",3.02541070579174,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT5G13840","OG0008399",2.93772569997525,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT4G31840","OG0000859",2.86139279063997,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT2G25060","OG0000859",2.67367878829677,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT5G56120","OG0010501",2.58531260242565,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT4G02800","OG0009054",2.31874103814665,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT5G66230","OG0004936",2.306064491574,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT5G55180","OG0003614",2.30211646804292,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT1G08560","OG0009670",2.28599957266357,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT1G02730","OG0000296",2.21086638513094,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT3G23890","OG0006787",2.16175173435252,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT3G51280","OG0010177",2.14607392103403,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT3G44050","OG0009940",2.09308712787776,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT5G06150","OG0001969",2.0903614447745,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT1G03780","OG0004116",2.05918375778372,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT2G28620","OG0004058",2.01926586637522,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT5G60930","OG0004864",2.01734656988808,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT5G16250","OG0003016",1.99907059861704,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT4G11080","OG0008585",1.99493123305499,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT4G05190","OG0001179",1.96106160408993,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT3G19050","OG0011183",1.93515209335593,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT1G76310","OG0000854",1.91573914643957,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT4G35620","OG0000854",1.86286511007351,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT5G51600","OG0002396",1.8351528455198,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT3G02640","OG0003016",1.79078739878346,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT1G16630","OG0009182",1.78039542205013,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT5G25090","OG0000859",1.73119381922811,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT3G03130","OG0004130",1.71745422342635,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT5G17160","OG0004130",1.71388648867515,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT3G20150","OG0008321",1.66503616779886,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT1G50490","OG0007875",1.65744290799565,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT3G15550","OG0009014",1.63509391771935,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT2G37420","OG0011129",1.62598885970155,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT1G30690","OG0000551",1.62544326382651,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
"AT1G44110","OG0003515",1.61565885558726,"G2/M phase","reference","G2/M phase",8,"arabidopsis_thaliana","Inflorescence"
