"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"AT3G15353","OG0011569",4.4227,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Stem"
"AT3G15353","OG0011569",4.4227,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Stem"
"AT5G04080","OG0011418",4.385,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Stem"
"AT5G04080","OG0011418",4.385,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Stem"
"AT5G22090","OG0003137",4.147,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Stem"
"AT5G22090","OG0003137",4.147,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Stem"
"AT3G15353","OG0011569",3.4937,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Stem"
"AT5G04080","OG0011418",2.9329,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Stem"
"AT4G38740","OG0000387",2.9314,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Stem"
"AT4G38740","OG0000387",2.9314,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Stem"
"AT5G10625","OG0001216",2.7345,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Stem"
"AT5G10625","OG0001216",2.7345,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Stem"
"AT5G54940","OG0000760",2.6889,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Stem"
"AT5G42980","OG0002445",2.5929,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Stem"
"AT3G56240","OG0000252",2.5489,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Stem"
"AT3G56240","OG0000252",2.5489,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Stem"
"AT3G56240","OG0000252",2.402,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Stem"
"AT5G22090","OG0003137",2.3927,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Stem"
