"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"Zm00001d053863","OG0001869",0.4699,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d022180","OG0001458",0.4238,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d042966","OG0002028",0.3939,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d003896","OG0002508",0.3902,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d003896","OG0002508",0.3902,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d008387","OG0003479",0.3764,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d017850","OG0003062",0.3557,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d020201","OG0001821",0.3465,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d041760","OG0002034",0.3376,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d019147","OG0003453",0.3177,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d010614","OG0004054",0.3125,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d030691","OG0002814",0.3115,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d007824","OG0003067",0.3094,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d047296","OG0002966",0.3075,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d044664","OG0002913",0.3037,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d047697","OG0003125",0.2977,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d016549","OG0002310",0.2869,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d029543","OG0002966",0.2864,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d034790","OG0002086",0.2844,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d046449","OG0000249",0.2843,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d052885","OG0001506",0.2841,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d002339","OG0002599",0.2807,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d041568","OG0002814",0.2805,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d028117","OG0002691",0.2786,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d012598","OG0002158",0.278,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d051885","OG0003299",0.278,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d022463","OG0001929",0.2774,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d021061","OG0002156",0.2749,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d012161","OG0002567",0.2736,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d038923","OG0005617",0.2658,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d045000","OG0003171",0.2656,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d014969","OG0003269",0.2616,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d037877","OG0000249",0.2601,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d014679","OG0011202",0.2568,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d037111","OG0003171",0.2563,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d053635","OG0001937",0.2554,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d037875","OG0000249",0.2547,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Zm00001d008594","OG0003177",0.2537,"Bundle sheath cell","reference","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_001G118100","OG0001506",1.46798649761538,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_001G262100","OG0001937",1.15924767331294,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_001G304700","OG0002913",1.4097116773434,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_002G140400","OG0002599",1.44310525676751,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_003G010200","OG0011202",1.35035539046019,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_003G053100","OG0003269",1.67199522540329,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_003G085100","OG0001869",1.14872045182591,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_003G114800","OG0001506",1.26731809689806,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_004G113800","OG0002156",1.15415203220034,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_005G051200","OG0002691",1.37437401923745,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_005G072700","OG0001458",1.39270957358798,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_005G082600","OG0003177",1.21327811130042,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_005G162600","OG0001458",1.17576810945415,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_006G052400","OG0003453",1.30297049170181,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_006G077200","OG0002508",1.55666847963138,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_006G103700","OG0002086",1.21860441265682,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_006G197700","OG0003479",1.46303848974052,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_007G013000","OG0002814",1.20300302205071,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_007G055900","OG0003177",1.31837109085177,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_007G056100","OG0002034",1.62551555963056,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_007G085200","OG0003177",1.26732777143539,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_008G013200","OG0003125",1.32978559871015,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_008G017300","OG0003171",1.26629834185033,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_008G042500","OG0000249",1.31065076583506,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_008G043100","OG0000249",1.14612470828731,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_008G048800","OG0002310",1.33650969556143,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_008G059400","OG0001821",1.37930066284546,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_008G150000","OG0002913",1.27785206738106,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_008G156300","OG0002691",1.30532740576772,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_009G032600","OG0011202",1.24113570220754,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_009G056900","OG0001937",1.14600955480567,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
"Potri_009G064100","OG0003062",1.36909866836718,"1","query","Bundle sheath cell",1,"zea_mays","Inflorescence"
