"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"MANES_06G007400","OG0008466",3.01597834246545,"Meristematic cell","reference","Meristematic cell",1,"manihot_esculenta","Tuberous root"
"MANES_15G054700","OG0000249",1.94102035606368,"Meristematic cell","reference","Meristematic cell",1,"manihot_esculenta","Tuberous root"
"MANES_11G145400","OG0002508",1.74563731898831,"Meristematic cell","reference","Meristematic cell",1,"manihot_esculenta","Tuberous root"
"MANES_11G132100","OG0010141",1.67566105985954,"Meristematic cell","reference","Meristematic cell",1,"manihot_esculenta","Tuberous root"
"MANES_15G045100","OG0001602",1.67495518864841,"Meristematic cell","reference","Meristematic cell",1,"manihot_esculenta","Tuberous root"
"MANES_11G085400","OG0002158",1.66353453290045,"Meristematic cell","reference","Meristematic cell",1,"manihot_esculenta","Tuberous root"
"MANES_01G206600","OG0003259",1.56365302599606,"Meristematic cell","reference","Meristematic cell",1,"manihot_esculenta","Tuberous root"
"MANES_11G159600","OG0001753",1.54087770425487,"Meristematic cell","reference","Meristematic cell",1,"manihot_esculenta","Tuberous root"
"MANES_10G016100","OG0003973",1.47983362839216,"Meristematic cell","reference","Meristematic cell",1,"manihot_esculenta","Tuberous root"
"MANES_15G110900","OG0002674",1.45855975532726,"Meristematic cell","reference","Meristematic cell",1,"manihot_esculenta","Tuberous root"
"MANES_01G017000","OG0002567",1.4525059425967,"Meristematic cell","reference","Meristematic cell",1,"manihot_esculenta","Tuberous root"
"MANES_08G064300","OG0003125",1.43676217447712,"Meristematic cell","reference","Meristematic cell",1,"manihot_esculenta","Tuberous root"
"MANES_10G078700","OG0002913",1.4177124163014,"Meristematic cell","reference","Meristematic cell",1,"manihot_esculenta","Tuberous root"
"MANES_05G016600","OG0002545",1.41292103517103,"Meristematic cell","reference","Meristematic cell",1,"manihot_esculenta","Tuberous root"
"MANES_04G137300","OG0002556",1.40414573309076,"Meristematic cell","reference","Meristematic cell",1,"manihot_esculenta","Tuberous root"
"MANES_12G002500","OG0003282",1.40240858800295,"Meristematic cell","reference","Meristematic cell",1,"manihot_esculenta","Tuberous root"
"MANES_15G027600","OG0002545",1.39492611862129,"Meristematic cell","reference","Meristematic cell",1,"manihot_esculenta","Tuberous root"
