"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"Ghir_D01G022800","OG0000381",2.3193,"Developing male gametophytes","reference","Developing male gametophytes",1,"gossypium_hirsutum","Flower"
"Ghir_A08G000380","OG0000381",2.2449,"Developing male gametophytes","reference","Developing male gametophytes",1,"gossypium_hirsutum","Flower"
"Ghir_A08G000380","OG0000381",2.2449,"Developing male gametophytes","reference","Developing male gametophytes",1,"gossypium_hirsutum","Flower"
"Ghir_A08G007650","OG0002013",2.2326,"Developing male gametophytes","reference","Developing male gametophytes",1,"gossypium_hirsutum","Flower"
"Ghir_A08G007650","OG0002013",2.2326,"Developing male gametophytes","reference","Developing male gametophytes",1,"gossypium_hirsutum","Flower"
"Ghir_A08G000390","OG0000381",2.1679,"Developing male gametophytes","reference","Developing male gametophytes",1,"gossypium_hirsutum","Flower"
"Ghir_A08G000390","OG0000381",2.1679,"Developing male gametophytes","reference","Developing male gametophytes",1,"gossypium_hirsutum","Flower"
"Ghir_D08G000440","OG0000381",2.1302,"Developing male gametophytes","reference","Developing male gametophytes",1,"gossypium_hirsutum","Flower"
"Ghir_D08G000440","OG0000381",2.1302,"Developing male gametophytes","reference","Developing male gametophytes",1,"gossypium_hirsutum","Flower"
"Ghir_D08G007720","OG0002013",2.0622,"Developing male gametophytes","reference","Developing male gametophytes",1,"gossypium_hirsutum","Flower"
"Ghir_D08G007720","OG0002013",2.0622,"Developing male gametophytes","reference","Developing male gametophytes",1,"gossypium_hirsutum","Flower"
"Ghir_D08G020170","OG0002013",1.9908,"Developing male gametophytes","reference","Developing male gametophytes",1,"gossypium_hirsutum","Flower"
"Ghir_D08G020170","OG0002013",1.9908,"Developing male gametophytes","reference","Developing male gametophytes",1,"gossypium_hirsutum","Flower"
"Ghir_A13G018080","OG0000559",1.9405,"Developing male gametophytes","reference","Developing male gametophytes",1,"gossypium_hirsutum","Flower"
"Ghir_A13G018080","OG0000559",1.9405,"Developing male gametophytes","reference","Developing male gametophytes",1,"gossypium_hirsutum","Flower"
"Ghir_A13G022800","OG0000052",1.7295,"Developing male gametophytes","reference","Developing male gametophytes",1,"gossypium_hirsutum","Flower"
