"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"M9H77_08824","OG0000652",5.80008176477736,"Idioblast cell","reference","Idioblast cell",2,"catharanthus_roseus","Leaf"
"M9H77_08831","OG0000652",4.67467536182007,"Idioblast cell","reference","Idioblast cell",2,"catharanthus_roseus","Leaf"
"M9H77_13286","OG0011839",3.58023431943158,"Idioblast cell","reference","Idioblast cell",2,"catharanthus_roseus","Leaf"
"M9H77_26154","OG0011044",2.94670953715912,"Idioblast cell","reference","Idioblast cell",2,"catharanthus_roseus","Leaf"
"M9H77_32685","OG0000330",2.82599508625209,"Idioblast cell","reference","Idioblast cell",2,"catharanthus_roseus","Leaf"
"M9H77_34102","OG0000410",2.56539236125386,"Idioblast cell","reference","Idioblast cell",2,"catharanthus_roseus","Leaf"
"M9H77_16277","OG0001010",2.40409341191254,"Idioblast cell","reference","Idioblast cell",2,"catharanthus_roseus","Leaf"
"M9H77_13539","OG0002633",2.35384427568504,"Idioblast cell","reference","Idioblast cell",2,"catharanthus_roseus","Leaf"
"M9H77_13720","OG0000085",2.24286609226424,"Idioblast cell","reference","Idioblast cell",2,"catharanthus_roseus","Leaf"
"M9H77_34736","OG0000175",2.18863373779149,"Idioblast cell","reference","Idioblast cell",2,"catharanthus_roseus","Leaf"
"M9H77_13385","OG0000206",2.10541369980565,"Idioblast cell","reference","Idioblast cell",2,"catharanthus_roseus","Leaf"
"M9H77_06417","OG0008859",1.85063098913108,"Idioblast cell","reference","Idioblast cell",2,"catharanthus_roseus","Leaf"
"M9H77_05404","OG0000356",1.69758465166762,"Idioblast cell","reference","Idioblast cell",2,"catharanthus_roseus","Leaf"
"M9H77_20002","OG0000856",1.69085321469274,"Idioblast cell","reference","Idioblast cell",2,"catharanthus_roseus","Leaf"
"M9H77_02222","OG0000944",1.67652602686023,"Idioblast cell","reference","Idioblast cell",2,"catharanthus_roseus","Leaf"
