"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"Os03g0799000","OG0000559",2.3055,"Cryptic bract","reference","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Os04g0253000","OG0000559",2.0876,"Cryptic bract","reference","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Os04g0679400","OG0002242",1.9787,"Cryptic bract","reference","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Os04g0679400","OG0002242",1.9787,"Cryptic bract","reference","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Os02g0200900","OG0001400",1.5067,"Cryptic bract","reference","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Os02g0200900","OG0001400",1.5067,"Cryptic bract","reference","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Os01g0863300","OG0004303",1.3006,"Cryptic bract","reference","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Os06g0130800","OG0000559",1.195,"Cryptic bract","reference","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Os06g0130800","OG0000559",1.195,"Cryptic bract","reference","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Os03g0764100","OG0000677",1.1396,"Cryptic bract","reference","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Os03g0764100","OG0000677",1.1396,"Cryptic bract","reference","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Os02g0602100","OG0000815",1.0874,"Cryptic bract","reference","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Os02g0602100","OG0000815",1.0874,"Cryptic bract","reference","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Os08g0431100","OG0005877",1.0213,"Cryptic bract","reference","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Os08g0431100","OG0005877",1.0213,"Cryptic bract","reference","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Os01g0719100","OG0000639",1.0212,"Cryptic bract","reference","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Os01g0719100","OG0000639",1.0212,"Cryptic bract","reference","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Os01g0693400","OG0002441",0.9899,"Cryptic bract","reference","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Os01g0693400","OG0002441",0.9899,"Cryptic bract","reference","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Os03g0324300","OG0000230",0.9585,"Cryptic bract","reference","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Os03g0324300","OG0000230",0.9585,"Cryptic bract","reference","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Potri_001G219100","OG0004303",2.22962499818019,"3","query","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Potri_001G295500","OG0000677",1.74283453615507,"3","query","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Potri_001G403000","OG0002242",2.91918261272557,"3","query","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Potri_004G040600","OG0002242",2.13351607795865,"3","query","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Potri_004G197400","OG0000230",0.680858886196461,"3","query","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Potri_006G068500","OG0001400",0.529865415092471,"3","query","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Potri_006G245400","OG0000639",3.0317122313306,"3","query","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Potri_007G014200","OG0000559",0.617794623549352,"3","query","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Potri_008G117100","OG0002441",1.298454884977,"3","query","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Potri_009G005700","OG0000639",1.13084113458147,"3","query","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Potri_010G126700","OG0005877",1.12501117675939,"3","query","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Potri_010G129200","OG0002441",1.52335577596086,"3","query","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Potri_011G049900","OG0002242",2.53062697467332,"3","query","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Potri_012G094600","OG0000815",0.727336473644826,"3","query","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Potri_013G042700","OG0000559",1.06107278990404,"3","query","Cryptic bract",3,"oryza_sativa","Inflorescence"
"Os07g0150700","OG0000282",1.7338,"Floret meristem","reference","Floret meristem",3,"oryza_sativa","Inflorescence"
"Os02g0593700","OG0004942",1.6939,"Floret meristem","reference","Floret meristem",3,"oryza_sativa","Inflorescence"
"Os06g0239200","OG0004251",1.6903,"Floret meristem","reference","Floret meristem",3,"oryza_sativa","Inflorescence"
"Os10g0577800","OG0001149",1.4646,"Floret meristem","reference","Floret meristem",3,"oryza_sativa","Inflorescence"
"Os01g0884300","OG0000062",1.4134,"Floret meristem","reference","Floret meristem",3,"oryza_sativa","Inflorescence"
"Os01g0826400","OG0001321",1.3065,"Floret meristem","reference","Floret meristem",3,"oryza_sativa","Inflorescence"
"Os01g0826400","OG0001321",1.3065,"Floret meristem","reference","Floret meristem",3,"oryza_sativa","Inflorescence"
"Os11g0168500","OG0000467",1.2626,"Floret meristem","reference","Floret meristem",3,"oryza_sativa","Inflorescence"
"Os10g0501500","OG0001613",1.0335,"Floret meristem","reference","Floret meristem",3,"oryza_sativa","Inflorescence"
"Os02g0817700","OG0002756",1.03,"Floret meristem","reference","Floret meristem",3,"oryza_sativa","Inflorescence"
"Os02g0817700","OG0002756",1.03,"Floret meristem","reference","Floret meristem",3,"oryza_sativa","Inflorescence"
"Os04g0439100","OG0003265",1.0266,"Floret meristem","reference","Floret meristem",3,"oryza_sativa","Inflorescence"
"Os03g0374575","OG0002503",0.9331,"Floret meristem","reference","Floret meristem",3,"oryza_sativa","Inflorescence"
"Os03g0374575","OG0002503",0.9331,"Floret meristem","reference","Floret meristem",3,"oryza_sativa","Inflorescence"
"Os04g0670200","OG0000731",0.8666,"Floret meristem","reference","Floret meristem",3,"oryza_sativa","Inflorescence"
"Os04g0670200","OG0000731",0.8666,"Floret meristem","reference","Floret meristem",3,"oryza_sativa","Inflorescence"
"Os11g0184900","OG0000062",0.8649,"Floret meristem","reference","Floret meristem",3,"oryza_sativa","Inflorescence"
"Os11g0184900","OG0000062",0.8649,"Floret meristem","reference","Floret meristem",3,"oryza_sativa","Inflorescence"
"Os01g0779400","OG0002581",0.8625,"Floret meristem","reference","Floret meristem",3,"oryza_sativa","Inflorescence"
"Potri_001G051900","OG0002756",0.628635666141068,"3","query","Floret meristem",3,"oryza_sativa","Inflorescence"
"Potri_001G137200","OG0001149",1.10066407798221,"3","query","Floret meristem",3,"oryza_sativa","Inflorescence"
"Potri_001G222600","OG0000282",0.905939610612774,"3","query","Floret meristem",3,"oryza_sativa","Inflorescence"
"Potri_002G081000","OG0000062",1.02426301899507,"3","query","Floret meristem",3,"oryza_sativa","Inflorescence"
"Potri_003G162500","OG0000467",0.875934717672001,"3","query","Floret meristem",3,"oryza_sativa","Inflorescence"
"Potri_003G218600","OG0002503",0.539593343011404,"3","query","Floret meristem",3,"oryza_sativa","Inflorescence"
"Potri_004G217800","OG0003265",0.968536438698263,"3","query","Floret meristem",3,"oryza_sativa","Inflorescence"
"Potri_005G069500","OG0000062",0.889298036513664,"3","query","Floret meristem",3,"oryza_sativa","Inflorescence"
"Potri_007G031400","OG0001613",2.30637680158538,"3","query","Floret meristem",3,"oryza_sativa","Inflorescence"
"Potri_009G098100","OG0000731",1.61698051352714,"3","query","Floret meristem",3,"oryza_sativa","Inflorescence"
"Potri_011G046400","OG0002581",0.53078691618062,"3","query","Floret meristem",3,"oryza_sativa","Inflorescence"
"Potri_012G075800","OG0004251",1.12121430294673,"3","query","Floret meristem",3,"oryza_sativa","Inflorescence"
"Potri_013G153400","OG0001321",1.0225323903604,"3","query","Floret meristem",3,"oryza_sativa","Inflorescence"
"Potri_015G084000","OG0004942",1.06841305186243,"3","query","Floret meristem",3,"oryza_sativa","Inflorescence"
"Potri_019G031400","OG0000062",3.04143872173149,"3","query","Floret meristem",3,"oryza_sativa","Inflorescence"
"Os12g0555500","OG0012983",2.179,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Os01g0609300","OG0000020",2.0795,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Os06g0239200","OG0004251",1.5581,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Os08g0482700","OG0000789",1.5461,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Os08g0127100","OG0000406",1.4611,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Os09g0332700","OG0000020",1.3862,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Os03g0161500","OG0002732",1.215,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Os01g0246700","OG0000385",1.0777,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Os12g0555000","OG0012983",1.0434,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Os03g0582200","OG0000801",1.0116,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Os02g0173800","OG0001124",1.0046,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Os02g0611800","OG0000501",0.9612,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Os01g0609900","OG0000020",0.9544,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Os01g0609900","OG0000020",0.9544,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Os08g0384500","OG0000020",0.9044,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Os11g0168500","OG0000467",0.8803,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Os01g0305200","OG0004842",0.8728,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Os05g0100600","OG0000135",0.8414,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Os05g0343400","OG0001321",0.8013,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Os02g0467600","OG0002557",0.7955,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Os03g0194900","OG0000297",0.7054,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Os02g0626100","OG0000362",0.6927,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Os02g0740600","OG0004251",0.6914,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Os01g0110400","OG0002210",0.6445,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Os03g0358100","OG0000330",0.6303,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Os01g0314800","OG0001972",0.6265,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Os08g0448000","OG0000892",0.5835,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Os07g0619500","OG0001749",0.5626,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Os02g0626400","OG0000362",0.5382,"Spikelet identity cell","reference","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Potri_001G036900","OG0000892",1.53888228700127,"7","query","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Potri_001G105200","OG0000330",1.13168599536107,"7","query","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Potri_001G189500","OG0000020",1.10721225621161,"7","query","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Potri_001G335300","OG0000406",1.31793102973399,"7","query","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Potri_002G203500","OG0001972",1.24739914820123,"7","query","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Potri_002G222700","OG0000297",2.01035855249281,"7","query","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Potri_003G183900","OG0000501",0.312976203374512,"7","query","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Potri_004G007500","OG0000385",1.14141239450578,"7","query","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Potri_004G033000","OG0012983",0.681862201484019,"7","query","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Potri_005G051900","OG0002732",2.29128419467761,"7","query","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Potri_006G067400","OG0000789",1.64226421006175,"7","query","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Potri_007G126600","OG0000330",0.654540410205337,"7","query","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Potri_008G038200","OG0000362",0.345569031527774,"7","query","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Potri_008G082100","OG0001124",1.87250071989133,"7","query","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Potri_008G108201","OG0004842",0.738883021338795,"7","query","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
"Potri_008G111200","OG0000135",1.48311115510823,"7","query","Spikelet identity cell",7,"oryza_sativa","Inflorescence"
