"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"Zm00001d003172","OG0003016",4.01238513918466,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d042527","OG0003016",3.70438029848984,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d012165","OG0003016",3.68579473953162,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d025762","OG0003016",3.44649576402328,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d046995","OG0000551",3.35434325460811,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d013268","OG0000213",3.30901533605818,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d003172","OG0003016",3.24561750695643,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d043164","OG0001969",3.20010000230077,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d012165","OG0003016",3.19569926203839,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d030101","OG0004936",3.107947724798,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d016082","OG0008585",2.94781958546644,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d016082","OG0008585",2.82854469529004,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d025762","OG0003016",2.80418100913921,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d012560","OG0001969",2.80043362331184,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d042527","OG0003016",2.74631466267771,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d000168","OG0001623",2.73982272072567,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d043164","OG0001969",2.72876591501998,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d013323","OG0009670",2.65753235304393,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d046995","OG0000551",2.65665466442145,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d014419","OG0004936",2.61302726345165,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d027295","OG0000155",2.60487041576222,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d034025","OG0006387",2.58834937454446,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d033919","OG0009670",2.58338325905812,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d006237","OG0010177",2.56378330832993,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d010656","OG0001969",2.53383205935787,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d031485","OG0009165",2.51388789999769,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d013268","OG0000213",2.51171118218045,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d000168","OG0001623",2.4823292208371,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d052323","OG0002561",2.46272849170738,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d012560","OG0001969",2.44422357729176,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
"Zm00001d013566","OG0009182",2.383216321711,"G2/M phase","reference","G2/M phase",8,"zea_mays","Shoot axis apex"
