"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"Zm00001d031640","OG0002156",1.7131,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d031640","OG0002156",1.7131,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d032239","OG0002654",1.708,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d048368","OG0001602",1.604,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d014082","OG0003312",1.549,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d036567","OG0001925",1.4998,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d012992","OG0004054",1.4966,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d032181","OG0001849",1.4923,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d032181","OG0001849",1.4923,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d021018","OG0001840",1.4866,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d051929","OG0001602",1.4834,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d047186","OG0002034",1.4646,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d047186","OG0002034",1.4646,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d010016","OG0001861",1.4389,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d010016","OG0001861",1.4389,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d052075","OG0001821",1.4315,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d004009","OG0001869",1.4114,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d036565","OG0001925",1.4098,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d021652","OG0002968",1.3428,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d003672","OG0002830",1.3379,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d006871","OG0002759",1.3228,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d006871","OG0002759",1.3228,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d026426","OG0005782",1.322,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d027813","OG0003125",1.3199,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d027813","OG0003125",1.3199,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d049552","OG0001849",1.3156,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d039106","OG0002178",1.3082,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d007154","OG0001929",1.2904,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d007154","OG0001929",1.2904,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d009000","OG0001506",1.2839,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d006064","OG0001840",1.2405,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d006064","OG0001840",1.2405,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d029124","OG0002916",1.2327,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d029124","OG0002916",1.2327,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d020201","OG0001821",1.2276,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d049830","OG0001029",1.224,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d048253","OG0002759",1.2167,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d048253","OG0002759",1.2167,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d045889","OG0003062",1.1764,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d045889","OG0003062",1.1764,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d036570","OG0003485",1.1094,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d036570","OG0003485",1.1094,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d009868","OG0000249",1.1029,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Zm00001d009868","OG0000249",1.1029,"Early stele","reference","Early stele",1,"zea_mays","Root"
"Potri_001G034400","OG0001029",1.20941424991682,"1","query","Early stele",1,"zea_mays","Root"
"Potri_001G046600","OG0002178",1.44739112341715,"1","query","Early stele",1,"zea_mays","Root"
"Potri_001G118100","OG0001506",1.46798649761538,"1","query","Early stele",1,"zea_mays","Root"
"Potri_001G164000","OG0002759",1.30653729510177,"1","query","Early stele",1,"zea_mays","Root"
"Potri_001G342500","OG0003485",1.22261281548933,"1","query","Early stele",1,"zea_mays","Root"
"Potri_001G353900","OG0001840",1.22928156434808,"1","query","Early stele",1,"zea_mays","Root"
"Potri_002G249000","OG0001840",1.27159604357443,"1","query","Early stele",1,"zea_mays","Root"
"Potri_003G085100","OG0001869",1.14872045182591,"1","query","Early stele",1,"zea_mays","Root"
"Potri_003G114800","OG0001506",1.26731809689806,"1","query","Early stele",1,"zea_mays","Root"
"Potri_003G159500","OG0003312",1.40971152364639,"1","query","Early stele",1,"zea_mays","Root"
"Potri_004G113800","OG0002156",1.15415203220034,"1","query","Early stele",1,"zea_mays","Root"
"Potri_004G131800","OG0001925",1.61217754445391,"1","query","Early stele",1,"zea_mays","Root"
"Potri_005G026000","OG0002916",1.21110629623788,"1","query","Early stele",1,"zea_mays","Root"
"Potri_005G092500","OG0002968",1.35324427755476,"1","query","Early stele",1,"zea_mays","Root"
"Potri_006G021500","OG0003485",1.5737429654275,"1","query","Early stele",1,"zea_mays","Root"
"Potri_006G181600","OG0001861",1.23265680511564,"1","query","Early stele",1,"zea_mays","Root"
"Potri_006G195400","OG0003312",1.40695032703943,"1","query","Early stele",1,"zea_mays","Root"
"Potri_007G056100","OG0002034",1.62551555963056,"1","query","Early stele",1,"zea_mays","Root"
"Potri_008G013200","OG0003125",1.32978559871015,"1","query","Early stele",1,"zea_mays","Root"
"Potri_008G042500","OG0000249",1.31065076583506,"1","query","Early stele",1,"zea_mays","Root"
"Potri_008G043100","OG0000249",1.14612470828731,"1","query","Early stele",1,"zea_mays","Root"
"Potri_008G059400","OG0001821",1.37930066284546,"1","query","Early stele",1,"zea_mays","Root"
"Potri_008G132400","OG0002654",1.43351733137699,"1","query","Early stele",1,"zea_mays","Root"
"Potri_008G171200","OG0001602",1.31703262272425,"1","query","Early stele",1,"zea_mays","Root"
"Potri_009G064100","OG0003062",1.36909866836718,"1","query","Early stele",1,"zea_mays","Root"
"Potri_010G012700","OG0001929",1.67230680980719,"1","query","Early stele",1,"zea_mays","Root"
"Potri_010G066400","OG0001602",1.17525263585093,"1","query","Early stele",1,"zea_mays","Root"
"Potri_010G194200","OG0001821",1.93510319274653,"1","query","Early stele",1,"zea_mays","Root"
"Potri_011G068900","OG0001861",1.45151068531815,"1","query","Early stele",1,"zea_mays","Root"
"Potri_011G069200","OG0001861",1.30879397129103,"1","query","Early stele",1,"zea_mays","Root"
"Potri_012G108400","OG0001849",1.34678972307624,"1","query","Early stele",1,"zea_mays","Root"
"Potri_012G117600","OG0002759",1.23333092229407,"1","query","Early stele",1,"zea_mays","Root"
"Potri_014G128800","OG0001929",1.2742814049885,"1","query","Early stele",1,"zea_mays","Root"
"Potri_014G191000","OG0001840",1.31656933694891,"1","query","Early stele",1,"zea_mays","Root"
"Potri_016G061100","OG0003312",1.68378406803553,"1","query","Early stele",1,"zea_mays","Root"
"Potri_017G081100","OG0005782",1.16754940734681,"1","query","Early stele",1,"zea_mays","Root"
"Potri_017G082200","OG0001849",1.38100692259456,"1","query","Early stele",1,"zea_mays","Root"
"Potri_017G100800","OG0002156",1.21169136525438,"1","query","Early stele",1,"zea_mays","Root"
"Potri_017G146700","OG0002830",1.20279168227356,"1","query","Early stele",1,"zea_mays","Root"
"Potri_018G070100","OG0003062",1.22039775026317,"1","query","Early stele",1,"zea_mays","Root"
"Potri_019G057000","OG0004054",1.27424002318883,"1","query","Early stele",1,"zea_mays","Root"
"Zm00001d031640","OG0002156",1.7131,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d031640","OG0002156",1.7131,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d043158","OG0000155",1.6439,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d048368","OG0001602",1.604,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d010434","OG0000765",1.5672,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d010434","OG0000765",1.5672,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d014082","OG0003312",1.549,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d036567","OG0001925",1.4998,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d012992","OG0004054",1.4966,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d021018","OG0001840",1.4866,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d051929","OG0001602",1.4834,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d010016","OG0001861",1.4389,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d010016","OG0001861",1.4389,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d052075","OG0001821",1.4315,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d036565","OG0001925",1.4098,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d012556","OG0000155",1.4085,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d012556","OG0000155",1.4085,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d006871","OG0002759",1.3228,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d006871","OG0002759",1.3228,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d026426","OG0005782",1.322,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d039106","OG0002178",1.3082,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d007154","OG0001929",1.2904,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d007154","OG0001929",1.2904,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d009000","OG0001506",1.2839,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d006064","OG0001840",1.2405,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d006064","OG0001840",1.2405,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d020201","OG0001821",1.2276,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d048253","OG0002759",1.2167,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d048253","OG0002759",1.2167,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d045889","OG0003062",1.1764,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d045889","OG0003062",1.1764,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d036570","OG0003485",1.1094,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Zm00001d036570","OG0003485",1.1094,"Early stele","reference","Early stele",8,"zea_mays","Root"
"Potri_001G046600","OG0002178",0.834082093767589,"8","query","Early stele",8,"zea_mays","Root"
"Potri_001G118100","OG0001506",0.895098208031452,"8","query","Early stele",8,"zea_mays","Root"
"Potri_001G164000","OG0002759",0.768243682293954,"8","query","Early stele",8,"zea_mays","Root"
"Potri_001G246900","OG0000155",1.98673257426559,"8","query","Early stele",8,"zea_mays","Root"
"Potri_001G342500","OG0003485",0.831188006340388,"8","query","Early stele",8,"zea_mays","Root"
"Potri_002G249000","OG0001840",0.800668335452488,"8","query","Early stele",8,"zea_mays","Root"
"Potri_003G114800","OG0001506",0.773990453504749,"8","query","Early stele",8,"zea_mays","Root"
"Potri_003G159500","OG0003312",0.926696396808819,"8","query","Early stele",8,"zea_mays","Root"
"Potri_004G131800","OG0001925",1.0247690665083,"8","query","Early stele",8,"zea_mays","Root"
"Potri_006G021500","OG0003485",0.987601426251637,"8","query","Early stele",8,"zea_mays","Root"
"Potri_006G181600","OG0001861",0.825565303566409,"8","query","Early stele",8,"zea_mays","Root"
"Potri_006G195400","OG0003312",0.823898651125437,"8","query","Early stele",8,"zea_mays","Root"
"Potri_008G171200","OG0001602",0.850766354963728,"8","query","Early stele",8,"zea_mays","Root"
"Potri_009G040200","OG0000155",3.92951715411372,"8","query","Early stele",8,"zea_mays","Root"
"Potri_009G067100","OG0000155",0.860176039278383,"8","query","Early stele",8,"zea_mays","Root"
"Potri_010G194200","OG0001821",1.14466299538268,"8","query","Early stele",8,"zea_mays","Root"
"Potri_010G208700","OG0001506",0.781229060235639,"8","query","Early stele",8,"zea_mays","Root"
"Potri_011G068900","OG0001861",0.852546783036103,"8","query","Early stele",8,"zea_mays","Root"
"Potri_011G069200","OG0001861",0.792482235511397,"8","query","Early stele",8,"zea_mays","Root"
"Potri_012G117600","OG0002759",0.791820725721485,"8","query","Early stele",8,"zea_mays","Root"
"Potri_014G094800","OG0000765",2.25339534280167,"8","query","Early stele",8,"zea_mays","Root"
"Potri_014G128800","OG0001929",0.798566101582492,"8","query","Early stele",8,"zea_mays","Root"
"Potri_014G191000","OG0001840",0.782158325762951,"8","query","Early stele",8,"zea_mays","Root"
"Potri_016G033200","OG0000155",0.949389170976283,"8","query","Early stele",8,"zea_mays","Root"
"Potri_016G061100","OG0003312",1.03492599503477,"8","query","Early stele",8,"zea_mays","Root"
"Potri_017G081100","OG0005782",0.875398165315945,"8","query","Early stele",8,"zea_mays","Root"
"Potri_017G100800","OG0002156",0.774216999898818,"8","query","Early stele",8,"zea_mays","Root"
"Potri_018G070100","OG0003062",0.776009583144058,"8","query","Early stele",8,"zea_mays","Root"
"Potri_019G057000","OG0004054",0.780108393611596,"8","query","Early stele",8,"zea_mays","Root"
