"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"GLYMA_06G242900","OG0011569",2.1287,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_18G109100","OG0000145",1.9439,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_12G154300","OG0011569",1.595,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_15G210100","OG0000454",1.5935,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_15G210100","OG0000454",1.5935,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_06G116400","OG0000245",1.2505,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_06G116400","OG0000245",1.2505,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_09G061200","OG0000592",1.2437,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_04G088200","OG0003663",1.2044,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_04G088200","OG0003663",1.2044,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_06G090200","OG0003663",1.2007,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_06G090200","OG0003663",1.2007,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_18G180800","OG0000950",1.1768,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_08G308700","OG0000145",1.1498,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_08G308700","OG0000145",1.1498,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_12G032800","OG0000104",1.1213,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_12G032800","OG0000104",1.1213,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_13G101700","OG0000592",1.1126,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_07G132000","OG0000950",1.0509,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_17G057800","OG0000592",0.9565,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_17G057800","OG0000592",0.9565,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_18G107900","OG0000145",0.8951,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_18G107900","OG0000145",0.8951,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_05G150400","OG0000138",0.7816,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_11G107800","OG0000104",0.7674,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_11G107800","OG0000104",0.7674,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_11G098700","OG0000387",0.7131,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_06G221100","OG0006885",0.7011,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_06G221100","OG0006885",0.7011,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_04G088000","OG0001697",0.6977,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_08G308200","OG0000145",0.6943,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_06G070700","OG0001874",0.6863,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_02G127800","OG0002133",0.6789,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_04G246400","OG0000245",0.6607,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_04G246400","OG0000245",0.6607,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_12G040000","OG0000443",0.6361,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_12G040000","OG0000443",0.6361,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_14G153500","OG0000245",0.6057,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_14G153500","OG0000245",0.6057,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_12G095200","OG0003137",0.6047,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_12G095200","OG0003137",0.6047,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_17G192000","OG0003663",0.5775,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_17G160200","OG0003095",0.5639,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_04G010300","OG0000342",0.5624,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_04G010300","OG0000342",0.5624,"Phloem","reference","Phloem",4,"glycine_max","Stem"
"GLYMA_08G361500","OG0000145",0.5611,"Phloem","reference","Phloem",4,"glycine_max","Stem"
