"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"Bra021673","OG0001491",2.1707,"Bundle sheath cell","reference","Bundle sheath cell",5,"brassica_rapa","Leaf"
"Bra021673","OG0001491",2.1707,"Bundle sheath cell","reference","Bundle sheath cell",5,"brassica_rapa","Leaf"
"Bra022815","OG0001491",1.8787,"Bundle sheath cell","reference","Bundle sheath cell",5,"brassica_rapa","Leaf"
"Bra024832","OG0000299",1.3516,"Bundle sheath cell","reference","Bundle sheath cell",5,"brassica_rapa","Leaf"
"Bra039818","OG0000930",1.1752,"Bundle sheath cell","reference","Bundle sheath cell",5,"brassica_rapa","Leaf"
"Bra039818","OG0000930",1.1752,"Bundle sheath cell","reference","Bundle sheath cell",5,"brassica_rapa","Leaf"
"Bra016735","OG0003708",1.1413,"Bundle sheath cell","reference","Bundle sheath cell",5,"brassica_rapa","Leaf"
"Bra016735","OG0003708",1.1413,"Bundle sheath cell","reference","Bundle sheath cell",5,"brassica_rapa","Leaf"
"Bra010794","OG0003047",1.1229,"Bundle sheath cell","reference","Bundle sheath cell",5,"brassica_rapa","Leaf"
"Bra022816","OG0001491",1.0937,"Bundle sheath cell","reference","Bundle sheath cell",5,"brassica_rapa","Leaf"
"Bra017350","OG0003708",1.0922,"Bundle sheath cell","reference","Bundle sheath cell",5,"brassica_rapa","Leaf"
"Bra011576","OG0000041",1.0881,"Bundle sheath cell","reference","Bundle sheath cell",5,"brassica_rapa","Leaf"
"Bra008132","OG0000023",1.0845,"Bundle sheath cell","reference","Bundle sheath cell",5,"brassica_rapa","Leaf"
"Bra025668","OG0000023",0.9931,"Bundle sheath cell","reference","Bundle sheath cell",5,"brassica_rapa","Leaf"
"Bra025668","OG0000023",0.9931,"Bundle sheath cell","reference","Bundle sheath cell",5,"brassica_rapa","Leaf"
"Bra032362","OG0003047",0.9885,"Bundle sheath cell","reference","Bundle sheath cell",5,"brassica_rapa","Leaf"
"Bra001907","OG0000107",0.9568,"Bundle sheath cell","reference","Bundle sheath cell",5,"brassica_rapa","Leaf"
"Bra022981","OG0003047",0.9531,"Bundle sheath cell","reference","Bundle sheath cell",5,"brassica_rapa","Leaf"
