"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"pal_pou18216","OG0014364",8.06654505518732,"Companion cell","reference","Companion cell",4,"populus_alba_var_pyramidalis","Stem"
"pal_pou37835","OG0012706",7.18444335458091,"Companion cell","reference","Companion cell",4,"populus_alba_var_pyramidalis","Stem"
"pal_pou37834","OG0012706",6.97522539200398,"Companion cell","reference","Companion cell",4,"populus_alba_var_pyramidalis","Stem"
"pal_pou24773","OG0001329",6.86156340271562,"Companion cell","reference","Companion cell",4,"populus_alba_var_pyramidalis","Stem"
"pal_pou24775","OG0001329",6.17670474603274,"Companion cell","reference","Companion cell",4,"populus_alba_var_pyramidalis","Stem"
"pal_pou28331","OG0015632",6.07995923395273,"Companion cell","reference","Companion cell",4,"populus_alba_var_pyramidalis","Stem"
"pal_pou21276","OG0011569",5.84186363799357,"Companion cell","reference","Companion cell",4,"populus_alba_var_pyramidalis","Stem"
"pal_pou22638","OG0024671",5.69804114352769,"Companion cell","reference","Companion cell",4,"populus_alba_var_pyramidalis","Stem"
"pal_pou09908","OG0026838",5.54015690979372,"Companion cell","reference","Companion cell",4,"populus_alba_var_pyramidalis","Stem"
"pal_pou08092","OG0000464",5.24309189347487,"Companion cell","reference","Companion cell",4,"populus_alba_var_pyramidalis","Stem"
"pal_pou37526","OG0006885",5.19356494310464,"Companion cell","reference","Companion cell",4,"populus_alba_var_pyramidalis","Stem"
"pal_pou12452","OG0018430",5.18040629950926,"Companion cell","reference","Companion cell",4,"populus_alba_var_pyramidalis","Stem"
"pal_pou19006","OG0017801",4.39356524061507,"Companion cell","reference","Companion cell",4,"populus_alba_var_pyramidalis","Stem"
"pal_pou11163","OG0010245",4.16155737012232,"Companion cell","reference","Companion cell",4,"populus_alba_var_pyramidalis","Stem"
"pal_pou22171","OG0002405",4.12886065503065,"Companion cell","reference","Companion cell",4,"populus_alba_var_pyramidalis","Stem"
"pal_pou30729","OG0003095",4.09607143898185,"Companion cell","reference","Companion cell",4,"populus_alba_var_pyramidalis","Stem"
