"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"Gbi12G0400","OG0000104",4.6035,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi11G2167","OG0000104",4.2571,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi11G2167","OG0000104",4.2571,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi10G0915","OG0011418",4.2541,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi10G0915","OG0011418",4.2541,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi04G0343","OG0000387",4.2116,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi06G1050","OG0006885",3.5097,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi06G1050","OG0006885",3.5097,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi04G0344","OG0000387",3.4597,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi05G0155","OG0011569",3.2894,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi11G4401","OG0000950",3.2459,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi04G2134","OG0000252",3.0737,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi05G1399","OG0011418",2.8538,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi05G1399","OG0011418",2.8538,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi10G3134","OG0002405",2.6065,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi10G3134","OG0002405",2.6065,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi09G3301","OG0001024",2.5177,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi06G1830","OG0000965",2.066,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi06G2344","OG0003663",2.0179,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi06G2344","OG0003663",2.0179,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi07G2151","OG0000410",1.7263,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi12G3482","OG0004384",1.661,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi11G4006","OG0000923",1.6469,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi06G2603","OG0005329",1.6216,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi02G1325","OG0012706",1.5115,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi11G0148","OG0000104",1.4391,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi01G1036","OG0003663",1.3645,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi01G1036","OG0003663",1.3645,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi03G1629","OG0001408",1.3628,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi11G2449","OG0000169",1.3619,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi11G2449","OG0000169",1.3619,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi12G3220","OG0000104",1.2391,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi07G1746","OG0003343",1.1883,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi11G2646","OG0002238",1.183,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi08G0284","OG0000138",1.1762,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi05G2060","OG0000303",1.0794,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Gbi13G3546","OG0001408",1.0779,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Leaf"
"Potri_001G057500","OG0002405",0.260659232362747,"4","query","Companion cell",4,"gossypium_bickii","Leaf"
"Potri_001G239650","OG0000950",3.93409770729587,"4","query","Companion cell",4,"gossypium_bickii","Leaf"
"Potri_001G311700","OG0000303",0.72557647085676,"4","query","Companion cell",4,"gossypium_bickii","Leaf"
"Potri_001G347700","OG0004384",0.35553114868766,"4","query","Companion cell",4,"gossypium_bickii","Leaf"
"Potri_002G021500","OG0000387",0.898143647861763,"4","query","Companion cell",4,"gossypium_bickii","Leaf"
"Potri_002G022100","OG0005329",4.56471402001122,"4","query","Companion cell",4,"gossypium_bickii","Leaf"
